,sem_group,word
0,1,month
1,0,coolness
2,3,camera
3,9,someone
4,11,cabinet
5,7,man
6,8,hierarchy
7,6,pain
8,12,pineapple
9,14,sand
10,13,animal
11,2,play
12,5,bonfire
13,10,truck
14,4,tornado
15,1,right
16,0,shame
17,3,cafeteria
18,9,excuse
19,11,criminal
20,7,engineer
21,8,human
22,6,care
23,12,chicken
24,14,beach
25,13,turtle
26,2,cup
27,5,cathedral
28,10,carriage
29,15,van
30,4,cloud
31,1,rent
32,0,envy
33,3,shoulder
34,9,clue
35,11,question
36,7,guard
37,8,life
38,6,study
39,12,ketchup
40,14,area
41,13,fish
42,2,goal
43,5,semester
44,10,highway
45,4,volcano
46,1,place
47,0,irony
48,3,lamp
49,9,movie
50,11,court
51,7,friend
52,8,faith
53,6,sickness
54,12,ham
55,14,boat
56,13,elm
57,2,sport
58,5,hall
59,15,need
60,10,subway
61,4,cyclone
62,1,interest
63,0,squeal
64,3,crib
65,9,kill
66,11,legality
67,7,death
68,8,fate
69,6,health
70,12,drink
71,14,stone
72,13,snake
73,2,field
74,5,accordion
75,10,van
76,4,damage
77,1,addition
78,0,distraction
79,3,paper
80,9,analogy
81,11,perjury
82,7,family
83,8,religion
84,0,whiteness
85,6,patient
86,12,pie
87,14,vacation
88,13,bee
89,15,question
90,2,tennis
91,5,college
92,10,riot
93,4,storm
94,1,need
95,0,relaxation
96,3,chair
97,9,thing
98,11,denial
99,7,journalist
100,8,freedom
101,6,poverty
102,12,coffee
103,14,hotel
104,13,zoo
105,2,ball
106,5,tribute
107,10,stampede
108,1,battle
109,0,jealousy
110,3,room
111,9,shit
112,11,debate
113,7,actor
114,8,happiness
115,6,routine
116,12,carrot
117,14,jungle
118,13,egg
119,15,trumpet
120,2,team
121,5,choir
122,10,cab
123,1,strategy
124,0,thirst
125,3,eye
126,9,thought
127,11,law
128,7,pilot
129,8,wealth
130,6,ease
131,12,beer
132,14,lake
133,13,duck
134,2,world
135,5,band
136,10,car
137,1,day
138,0,abyss
139,3,dime
140,9,hell
141,11,party
142,7,lawyer
143,8,truth
144,6,drug
145,12,cooking
146,14,foot
147,13,giant
148,2,win
149,15,act
150,5,harp
151,10,accident
152,1,radio
153,0,avoidance
154,3,shoe
155,9,wonder
156,11,comment
157,7,boyfriend
158,8,sin
159,6,hygiene
160,12,lemonade
161,14,summer
162,13,monkey
163,2,football
164,5,trumpet
165,1,type
166,0,guilt
167,3,hair
168,9,kiss
169,11,office
170,7,artist
171,8,trust
172,6,hunger
173,12,pumpkin
174,14,island
175,13,flower
176,2,basketball
177,1,system
178,0,loner
179,15,crib
180,3,arm
181,9,crap
182,11,motive
183,7,army
184,8,belief
185,6,hospital
186,12,eggplant
187,14,garden
188,13,dog
189,2,game
190,1,top
191,0,grief
192,3,color
193,9,conversation
194,11,election
195,7,victim
196,8,society
197,6,problem
198,12,honey
199,14,tourist
200,13,plant
201,1,reading
202,0,feeling
203,3,dress
204,9,luck
205,11,voter
206,7,businessman
207,8,greatness
208,6,sleep
209,15,computer
210,12,dinner
211,14,mountain
212,1,cost
213,0,depression
214,3,toothbrush
215,9,sight
216,11,testimony
217,7,worker
218,8,goodness
219,6,burden
220,1,computer
221,0,darkness
222,3,store
223,9,love
224,11,speech
225,7,woman
226,8,sense
227,6,situation
228,1,line
229,0,deceit
230,3,finger
231,9,scream
232,11,friday
233,7,scientist
234,8,knowledge
235,1,step
236,0,delirium
237,3,bar
238,9,mystery
239,15,carriage
240,11,minister
241,7,girlfriend
242,1,money
243,0,noise
244,3,faucet
245,9,couple
246,11,complaint
247,7,boy
248,1,era
249,0,joviality
250,3,door
251,9,fun
252,11,plea
253,7,soldier
254,1,company
255,0,sweetness
256,3,shelf
257,9,humor
258,11,act
259,1,part
260,0,brightness
261,3,rake
262,9,plot
263,11,meeting
264,1,high
265,0,dread
266,3,nose
267,7,doctor
268,9,scare
269,15,faucet
270,11,bribe
271,1,change
272,0,emptiness
273,3,window
274,9,hate
275,11,refusal
276,1,rose
277,0,paradox
278,3,kitchen
279,9,satire
280,1,group
281,0,homesickness
282,3,screen
283,9,joke
284,1,home
285,0,woe
286,3,stapler
287,9,sex
288,1,number
289,7,diplomat
290,0,optimism
291,3,firework
292,1,use
293,0,stupidity
294,3,table
295,1,loan
296,0,awe
297,3,pencil
298,1,package
299,0,torment
300,15,honey
301,1,advantage
302,1,class
