"","groups"
"love",10
"boyfriend",8
"home",2
"friend",8
"family",8
"game",3
"football",3
"play",3
"team",3
"basketball",3
"girlfriend",8
"win",3
"sport",3
"tennis",3
"band",6
"fun",10
"coolness",1
"hell",10
"hate",10
"shit",10
"crap",10
"care",7
"stupidity",1
"movie",10
"computer",2
"drug",7
"world",3
"death",8
"society",9
"religion",9
"human",9
"faith",9
"type",2
"college",6
"group",2
"situation",7
"class",2
"problem",7
"goodness",9
"health",7
"poverty",7
"ease",7
"conversation",10
"avoidance",1
"scare",10
"pain",7
"dress",4
"awe",1
"line",2
"lake",15
"radio",2
"kill",10
"goal",3
"right",2
"greatness",9
"interest",2
"addition",2
"top",2
"routine",7
"package",2
"whiteness",1
"reading",2
"darkness",1
"money",2
"drink",13
"hunger",7
"boy",8
"question",12
"freedom",9
"thirst",1
"change",2
"refusal",12
"need",2
"day",2
"friday",12
"clue",10
"system",2
"step",2
"comment",12
"rent",2
"act",12
"distraction",1
"life",9
"someone",10
"part",2
"thought",10
"feeling",1
"abyss",1
"sex",10
"sweetness",1
"screen",4
"study",7
"meeting",12
"high",2
"sleep",7
"relaxation",1
"office",12
"cooking",13
"homesickness",1
"thing",10
"place",2
"company",2
"window",4
"number",2
"shoe",4
"room",4
"chair",4
"area",15
"month",2
"eye",4
"car",11
"pencil",4
"door",4
"toothbrush",4
"cup",3
"paper",4
"lamp",4
"plant",14
"flower",14
"sin",9
"excuse",10
"guilt",1
"jealousy",1
"plea",12
"shame",1
"camera",4
"choir",6
"criminal",12
"garden",15
"grief",1
"complaint",12
"hygiene",7
"accordion",6
"delirium",1
"emptiness",1
"plot",10
"riot",11
"torment",1
"damage",5
"hierarchy",9
"sense",9
"snake",14
"stampede",11
"truck",11
"use",2
"bribe",12
"denial",12
"dog",14
"dread",1
"elm",14
"fate",9
"kiss",10
"knowledge",9
"humor",10
"animal",14
"deceit",1
"loner",1
"satire",10
"scream",10
"sickness",7
"actor",8
"battle",2
"cyclone",5
"perjury",12
"victim",8
"woe",1
"coffee",13
"cafeteria",4
"hall",6
"cab",11
"storm",5
"turtle",14
"wonder",10
"patient",7
"tornado",5
"trumpet",6
"finger",4
"hair",4
"pineapple",13
"businessman",8
"happiness",9
"joviality",1
"minister",12
"vacation",15
"speech",12
"stapler",4
"worker",8
"arm",4
"egg",14
"ham",13
"joke",10
"trust",9
"summer",15
"crib",4
"engineer",8
"ketchup",13
"kitchen",4
"shelf",4
"testimony",12
"table",4
"tribute",6
"ball",3
"beach",15
"couple",10
"dime",4
"dinner",13
"journalist",8
"monkey",14
"mystery",10
"optimism",1
"party",12
"store",4
"truth",9
"belief",9
"cabinet",12
"field",3
"volcano",5
"color",4
"envy",1
"firework",4
"lawyer",8
"paradox",1
"bonfire",6
"election",12
"cost",2
"harp",6
"highway",11
"pie",13
"rake",4
"rose",2
"sight",10
"tourist",15
"cathedral",6
"fish",14
"honey",13
"pilot",8
"scientist",8
"shoulder",4
"subway",11
"voter",12
"zoo",14
"analogy",10
"chicken",13
"court",12
"foot",15
"irony",1
"mountain",15
"squeal",1
"stone",15
"duck",14
"island",15
"jungle",15
"legality",12
"accident",11
"artist",8
"boat",15
"era",2
"motive",12
"soldier",8
"van",11
"debate",12
"diplomat",8
"guard",8
"brightness",1
"army",8
"hotel",15
"lemonade",13
"beer",13
"law",12
"eggplant",13
"bee",14
"carriage",11
"burden",7
"noise",1
"semester",6
"wealth",9
"nose",4
"loan",2
"bar",4
"advantage",2
"strategy",2
"hospital",7
"carrot",13
"luck",10
"faucet",4
"pumpkin",13
"giant",14
"cloud",5
"doctor",8
"sand",15
